game_id,player_id,free_resp_prompt,free_resp_answer
ebb76ace-54d1-4bda-8eab-e12729f95454,7fb9c568-eb73-4ad8-8705-45e9dcc5c4a3,"In the text box below, please describe any strategies you used to try and beat your opponent.",I noticed that the opponent usually followed a pattern of what they would choose. I would recognize this pattern and follow it too to choose what object I was going to pick.
0e42c8ed-dec4-45f1-bd15-4de1a28ba05c,8766a7e1-c137-41aa-a9ed-8b7f18a3bc16,"In the text box below, please describe any strategies you used to try and beat your opponent.","At first I was just pressing rock, because rock has pretty good chances, but after realizing the pattern in the choice of my opponent I was able to figure out which object he was going to chose before he chose it. "
28393a17-c8b7-47cf-bd20-ae49baf9646b,d75c7e2e-b1ba-4877-a14d-628d817fa2af,"In the text box below, please describe any strategies you used to try and beat your opponent.","I noticed that usually the opponent would choose whichever move would have beaten my previous choice, so I would pick whatever beat that choice. For example, if I picked rock, in the next turn the opponent would pick paper so I would choose scissors."
bead7b05-0d45-43da-8fb9-9cc2981be09f,79a2d092-4475-435d-972c-e9036a3de75d,"In the text box below, please describe any strategies you used to try and beat your opponent.",I saw a rotating pattern
27d2ce58-ed12-4d9c-b298-379598c5e69b,20d0d9b2-261a-490a-a3d0-d61621fbe9dd,"In the text box below, please describe any strategies you used to try and beat your opponent.","At first I thought it was completely random until i found out that once I won something for example I played ROCK and they played SCISSORS, I saw it kept going down the line ROCK>PAPER>SCISSORS. But sometimes I would notice that I would tie/lose and I would pay attention to what I played last and why i tied/lost for example I played ROCK and they played PAPER. I would then predict that I should play ROCK again because they will play SCISSORS next."
4d8b459f-7586-4734-b7e2-6ee1ae630b64,06ef75f2-414f-4f3e-8be9-0f96207dfabf,"In the text box below, please describe any strategies you used to try and beat your opponent.","At first I was picking randomly, but then noticed that there was a pattern where I could just do the same pattern and I would win"
3e725837-b234-4eec-bfd3-6dca4138e29a,c2ed21e6-c5f5-4189-aa06-ad8a2f2cc8eb,"In the text box below, please describe any strategies you used to try and beat your opponent.",I tries to memorize a pattern from the opponent and tried to match it by choosing the opposite
d0bf5c4d-9d89-46e1-bcb2-f9b510a456c3,b007f71f-9cc6-46a7-9868-0e4274a4d1fc,"In the text box below, please describe any strategies you used to try and beat your opponent.","I could see that it tended to pick whatever would beat what I just chose, so I would switch between things like rock and scissors because I would tie and then win the next round."
c9fbe4e5-af61-47b1-a364-924cdde91d26,489e572a-1c73-4de5-bed2-9733b137b31d,"In the text box below, please describe any strategies you used to try and beat your opponent.","Strategies included knowing what the opponent played and how often it repeated. The opponent used rock, paper, scissors once before repeating the same three cards. Given this information, if I lose the first round, then the next round will either be a tie or a win. If it's a tie, then I will win for sure the next round. Every 5th or 6th time, the opponent plays the second card again, so if the first card was Rock and the second was Scissors, then I would play rock to beat Scissors. This did not happen often, but didn't notice beforehand."
9a564510-b95c-47b3-abf3-4719cea2be4b,a0d7acf4-a562-4511-b8bc-27529ad1e18e,"In the text box below, please describe any strategies you used to try and beat your opponent.",i realized a pattern and stuck to a pattern that would beat its pattern
0d533791-7b36-49e9-9bcd-2a36f841630f,6a156fd9-b164-4b24-9a62-70fd9c6ad078,"In the text box below, please describe any strategies you used to try and beat your opponent.",I tried to find a pattern in what they chose and that worked. 
8bd63781-8774-4221-a739-8a1e05af5107,bcfa93ab-0b78-4483-b54d-06271453f61e,"In the text box below, please describe any strategies you used to try and beat your opponent.",I didn't use any.
ed1392b6-e31e-4a05-ad94-996a2fa93d81,33795fa4-5fc8-4813-9526-4f5b6dab971e,"In the text box below, please describe any strategies you used to try and beat your opponent.",noticed and would keep track of patterns displayed by opponent
110737e9-9735-4893-8446-04f5f4ec183e,262fe3a5-9466-4474-811c-6d1b70688f0f,"In the text box below, please describe any strategies you used to try and beat your opponent.",One of the strategies I tried to use to beat my opponent was try and remember what move I used last and I would try to guess what their next move was. Another strategy I tried to use was to try and remember what moves my opponent kept using because at times it felt as if there was an order to what move they would use next.
7b0a80fe-0c9e-442f-8bcb-c204352fda24,0be13e74-9bbe-488d-af6d-36eabd5997be,"In the text box below, please describe any strategies you used to try and beat your opponent.","the opponent was on a loop, so i just stayed one ahead and paid attention to when the loop changed"
3dba6568-e90b-4359-ac26-aa0bf8483934,2e2c04c9-19de-471a-b83b-04babfac4842,"In the text box below, please describe any strategies you used to try and beat your opponent.",I tried to see if the opponent had a certain strategy and then worked from there
bdae4b90-5c3e-4f71-86b4-a1f6f652b797,f3540a99-31be-4868-aa91-39801ac216ba,"In the text box below, please describe any strategies you used to try and beat your opponent.","It was clear after a few rounds that the opponent was simply cycling through each option in order. So I just did the same, but one step ahead. The cycle is disrupted every few rounds but it re-calibrates in the exact same manner so it was simple to adjust the pattern I cycled through. "
b8f0eec2-2d64-42c6-b3fd-6c94dd773413,b58febc1-ef9c-4022-8686-403f82d88ec2,"In the text box below, please describe any strategies you used to try and beat your opponent.",rock -> paper -> scissor
fca92c82-5fd3-4703-b154-7184cf400e63,18c32ef9-c46c-43aa-8fe0-1a8cc38f20de,"In the text box below, please describe any strategies you used to try and beat your opponent.","To beat the opponent I tried to predict the card he/she was going to choose. I discovered the pattern, which was rock, paper and scissors and then rock again. Thus, I attempted to choose as quickly as possible the opposite card. "
b11a8544-b074-4eb3-985c-7b2527f7428b,7317feb6-9809-4c88-889c-edb4b6c230c4,"In the text box below, please describe any strategies you used to try and beat your opponent.","I noticed rotating between rock, paper, scissors for the most part was successful."
2d59d1e2-19dd-4d13-a8cd-23fd37105100,3d31330e-bdbf-4ec7-b307-f2b3468db11d,"In the text box below, please describe any strategies you used to try and beat your opponent.",I figured out the order the computer would generally go in. Sometimes it would skip a move but it would go back to that order. 
7b1f724d-dd20-4e98-b46c-a48330d41782,32643f0f-d3c8-4106-9158-ea7fb545a723,"In the text box below, please describe any strategies you used to try and beat your opponent.",Going rock paper scissors 
29c37df0-8c09-4cbe-b45b-b0184622ce7c,e4ea6761-0781-4e78-972b-675617e89cc8,"In the text box below, please describe any strategies you used to try and beat your opponent.",I would randomly choose differnt methods but for the most part I stuck with choosing rock
9239be27-574b-468e-8597-7bac064e9ce5,0f018a63-f1eb-421e-8cef-9b5e021d1221,"In the text box below, please describe any strategies you used to try and beat your opponent.",There seemed to be a sequence with the opponent so i tried to follow that
ed45c0ed-85c8-4270-babb-0a9ee1a15ad3,a7c02cae-cfe8-4205-974f-5c10ee3928c7,"In the text box below, please describe any strategies you used to try and beat your opponent.",I noticed the opponent would usually pick whatever object I picked before so i used the strategy of going in order from Rock to Paper to Scissor 
c1dcf6ea-8afb-497d-8ab4-e15c8c3b2672,f065171d-808d-47a0-8a4a-58c2b41e0959,"In the text box below, please describe any strategies you used to try and beat your opponent.",I would choose the one that I thought they were not going to choose or the one that they had just previously chosen
d220e990-9462-403c-aa65-2a9be6913e25,0f09ae2d-06a3-4448-9e13-2dbbafa1466e,"In the text box below, please describe any strategies you used to try and beat your opponent.",To find the patterns it was using and using it against them
6f0aa4e2-1f8f-478e-b175-8fd752c8cec8,6c6c787a-5e80-4818-98f0-c0d1c0cb33c5,"In the text box below, please describe any strategies you used to try and beat your opponent.","If opponent picks rock, their next pick will likely be what beats rock, which is paper. So I will pick scissors. The opponent will likely pick what will beat the thing they lost with before. "
7a9914e9-75c5-43e3-8e52-e995fdaea545,33125e3d-2faf-4de5-99b0-d63a196d5deb,"In the text box below, please describe any strategies you used to try and beat your opponent.",i noticed that the winning action cycled in order through all three from left to right
c7736160-5774-46dc-baef-7ed8122651e5,f3a0bddd-ddc3-4be3-91cc-6e06c7b52568,"In the text box below, please describe any strategies you used to try and beat your opponent.","Rock is my favorite so I always do rock first, then I decided to switch it up, no strategies really"
8a2fffb9-4df6-4f62-aaa4-8e20bdb59847,2ab713fa-cfe7-4993-a8d0-19c7770e6f91,"In the text box below, please describe any strategies you used to try and beat your opponent.","At first, I was analyzing my opponent's movement to try to predict what he will choose after. Later on, I realize the pattern in which the icons where selected"
8b3af868-2e83-4be6-90db-9ef92c30224b,33af7173-44a8-4d03-9707-2fdd85be0361,"In the text box below, please describe any strategies you used to try and beat your opponent.",I noticed a pattern and/or a particular order that caused me to win more often and stuck with it.
40e64567-8848-4a12-889a-700d1a0cf84d,643954c0-b7e2-4f5f-8ae7-50c335731299,"In the text box below, please describe any strategies you used to try and beat your opponent.",I tried to play them in reverse order and it seemed to work. 
